Nr wiersza,Nr zamówienia,Data zamówienia,Priorytet zamówienia,Wielkość zamówienia,Data wysyłki,Rodzaj transportu,Rodzaj opakowania,Segment rynku,Region,Województwo,Miasto,Kod pocztowy,Nr klienta,Kategoria produktu,Podkategoria produktu,Nazwa produktu,Sprzedaż,Cena jednostkowa,Rabat procentowy,Marża podstawowa,Koszt dostawy,Zysk,Miesiąc wysyłki
20658,PL-2012-089507,40998,niski,8,41000,lądowy,kontener,korporacja,południowy,małopolskie,Tokarnia,40-258,K02346,meble,krzesła,"Global Stack Chair without Arms, Black",700,90.93,0.1,0.6,50.26,300.384,4
20659,PL-2014-087731,41713,nieokreślony,6,41715,lotniczy standardowy,małe pudełko,korporacja,wschodni,lubelskie,Kraśnik,85-345,K00745,artykuły biurowe,etykiety,Avery 511,60.27,10.78,0.1,0.37,3.465,38.08,3
2066,PL-2011-014785,40825,wysoki,45,40826,lotniczy standardowy,małe opakowanie,osoba fizyczna,południowy,małopolskie,Kraków,90-045,K02491,artykuły biurowe,akcesoria piśmiennicze,"Boston Model 1800 Electric Pencil Sharpener, Gray",4687.97,98.525,0.02,0.55,21.595,410.228,10
20660,PL-2014-087731,41713,nieokreślony,3,41714,lotniczy standardowy,woreczek foliowy,korporacja,wschodni,lubelskie,Kraśnik,85-345,K00745,artykuły biurowe,spinacze i zszywki,Bagged Rubber Bands,14.84,4.41,0,0.81,2.45,-20.72,3
20661,PL-2011-089257,40736,niski,13,40741,lotniczy standardowy,małe pudełko,mała firma,centralny,mazowieckie,Halinów,37-167,K00823,meble,wyposażenie wnętrza,Eldon Expressions Mahogany Wood Desk Collection,280.805,21.84,0.04,0.6,18.27,15.33315,7
20662,PL-2014-089269,41832,niski,2,41834,lotniczy standardowy,woreczek foliowy,mała firma,centralny,mazowieckie,Halinów,37-167,K00823,artykuły biurowe,akcesoria piśmiennicze,Sanford Liquid Accent Highlighters,46.76,23.38,0.09,0.48,5.25,595.959,7
20663,PL-2011-089257,40736,niski,8,40743,lądowy,wielkie pudło,mała firma,północno-zachodni,lubuskie,Szlichtyngowa,37-174,K00824,meble,szafki,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7157.15,913.43,0.09,0.59,146.685,-352.604,7
20664,PL-2011-090270,40567,wysoki,6,40567,lotniczy standardowy,średnie pudełko,korporacja,centralny,mazowieckie,Staroźreby,80-033,K00830,artykuły biurowe,przyrządy,Holmes Odor Grabber,314.685,50.47,0.01,0.52,23.625,-48.391,1
20665,PL-2013-090425,41546,wysoki,20,41548,lotniczy standardowy,małe pudełko,osoba fizyczna,południowo-zachodni,dolnośląskie,Złoty Stok,92-253,K01536,artykuły biurowe,segregatory,Ibico Presentation Index for Binding Systems,283.01,13.93,0.09,0.38,18.41,-471.4885,10
20666,PL-2013-090425,41546,wysoki,11,41547,lotniczy standardowy,woreczek foliowy,osoba fizyczna,południowo-zachodni,dolnośląskie,Złoty Stok,92-253,K01536,artykuły biurowe,papier,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",180.355,16.555,0.07,0.36,5.32,84.595,9
20667,PL-2012-089125,41009,wysoki,11,41011,lotniczy ekspresowy,woreczek foliowy,biuro w domu,północno-zachodni,zachodniopomorskie,Gryfino,90-301,K01208,artykuły biurowe,akcesoria piśmiennicze,Newell 323,67.795,5.88,0.04,0.59,5.495,-132.16,4
20668,PL-2011-091062,40620,nieokreślony,3,40622,lotniczy standardowy,małe pudełko,korporacja,północno-zachodni,lubuskie,Zielona Góra,93-727,K00485,artykuły biurowe,etykiety,Avery 49,30.695,10.08,0.05,0.36,1.75,21.17955,3
20669,PL-2011-090641,40893,krytyczny,5,40894,lotniczy standardowy,woreczek foliowy,korporacja,północny,pomorskie,Trzebielino,33-430,K01038,artykuły biurowe,papier,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",137.76,26.74,0.1,0.36,20.405,-1411.1559,12
20670,PL-2012-088695,40975,nieokreślony,9,40977,lotniczy standardowy,małe pudełko,korporacja,północno-zachodni,wielkopolskie,Wielichowo,11-561,K02245,meble,wyposażenie wnętrza,Staples Plastic Wall Frames,239.715,27.86,0.07,0.41,17.325,-22.365,3
20671,PL-2012-088695,40975,nieokreślony,2,40976,lotniczy standardowy,małe pudełko,korporacja,północno-zachodni,wielkopolskie,Wielichowo,11-561,K02245,urządzenia techniczne,telefony,KF 788,270.375,160.965,0.03,0.56,17.465,-545.8145,3
20672,PL-2014-087066,41697,wysoki,12,41699,lądowy,wielkie pudło,osoba fizyczna,południowo-zachodni,dolnośląskie,Dobroszyce,21-234,K00304,meble,stoły,"Bevis Round Conference Table Top, X-Base",7529.725,627.515,0.06,0.74,102.235,-1516.515501,3
20673,PL-2014-085989,41905,niski,11,41914,lotniczy standardowy,małe pudełko,osoba fizyczna,południowo-zachodni,dolnośląskie,Lubin,33-614,K03338,artykuły biurowe,segregatory,Vinyl Sectional Post Binders,1446.235,131.95,0.06,0.35,10.465,3961.46835,10
20674,PL-2014-085989,41905,niski,23,41912,lotniczy standardowy,woreczek foliowy,osoba fizyczna,południowo-zachodni,dolnośląskie,Lubin,33-614,K03338,artykuły biurowe,papier,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",682.535,29.96,0.07,0.38,18.06,2520.4305,9
20675,PL-2014-085989,41905,niski,11,41907,lotniczy standardowy,małe opakowanie,osoba fizyczna,wschodni,lubelskie,Dorohusk,29-687,K03341,meble,wyposażenie wnętrza,"Executive Impressions 13"" Chairman Wall Clock",981.89,88.83,0.05,0.5,31.465,16.947,9
20676,PL-2013-088963,41460,wysoki,15,41461,lotniczy standardowy,małe pudełko,biuro w domu,północno-zachodni,lubuskie,Żary,37-421,K02724,artykuły biurowe,papier,Xerox 1923,341.32,23.38,0.1,0.37,19.81,-154.79345,7
20677,PL-2013-088963,41460,wysoki,14,41462,lotniczy standardowy,woreczek foliowy,biuro w domu,północno-zachodni,lubuskie,Żary,37-421,K02724,artykuły biurowe,akcesoria piśmiennicze,Newell 315,296.52,20.93,0.04,0.6,3.36,427.2219,7
20678,PL-2013-089114,41290,średni,8,41291,lotniczy standardowy,małe pudełko,mała firma,południowo-zachodni,dolnośląskie,Jeżów Sudecki,47-591,K01281,artykuły biurowe,papier,Xerox 1992,175.56,20.93,0.03,0.36,18.2,-188.1824,1
20679,PL-2011-089523,40653,wysoki,5,40655,lotniczy standardowy,małe pudełko,biuro w domu,wschodni,podkarpackie,Radymno,37-664,K00151,artykuły biurowe,koperty,Wausau Papers Astrobrights® Colored Envelopes,98.385,20.93,0.09,0.36,8.75,48.636,4
20680,PL-2014-090174,41998,średni,8,41999,lotniczy standardowy,woreczek foliowy,korporacja,południowo-zachodni,dolnośląskie,Świebodzice,76-201,K00896,urządzenia techniczne,telefony,Accessory21,488.81,73.465,0.05,0.37,3.465,337.2789,12
20681,PL-2014-090174,41998,średni,3,42001,lotniczy standardowy,małe pudełko,korporacja,południowo-zachodni,dolnośląskie,Świebodzice,76-201,K00896,urządzenia techniczne,telefony,StarTAC 6500,1132.32,440.965,0.05,0.59,30.8,-532.005936,12
20682,PL-2013-086479,41373,nieokreślony,8,41373,lotniczy standardowy,małe pudełko,mała firma,południowy,śląskie,Gaszowice,97-007,K03030,artykuły biurowe,segregatory,Avery Reinforcements for Hole-Punch Pages,58.59,6.93,0.09,0.4,16.695,-404.9955,4
20683,PL-2013-086479,41373,nieokreślony,10,41374,lotniczy standardowy,małe pudełko,mała firma,południowy,śląskie,Gaszowice,97-007,K03030,urządzenia techniczne,telefony,Accessory35,1068.025,125.965,0.05,0.55,3.85,736.93725,4
20684,PL-2014-091072,41906,nieokreślony,18,41907,lotniczy standardowy,małe opakowanie,biuro w domu,południowy,śląskie,Czechowice-Dziedzice,97-301,K00611,artykuły biurowe,nożyczki i linijki,Acme® Preferred Stainless Steel Scissors,389.55,19.88,0,0.56,12.6,-101.9774,9
20685,PL-2011-089402,40779,nieokreślony,1,40779,lądowy,wielkie pudło,biuro w domu,południowo-zachodni,opolskie,Głubczyce,94-061,K00961,meble,stoły,Bevis 36 x 72 Conference Tables,420.42,435.715,0.05,0.63,181.79,-154.5726,8
20686,PL-2012-088006,41226,krytyczny,33,41228,lotniczy standardowy,duże pudełko,korporacja,północno-zachodni,zachodniopomorskie,Dziwnów,94-044,K01490,artykuły biurowe,teczki,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,19968.13,585.445,0.03,0.85,122.5,351.435,11
20687,PL-2011-090322,40686,nieokreślony,1,40688,lotniczy standardowy,woreczek foliowy,biuro w domu,południowy,śląskie,Imielin,53-545,K02450,artykuły biurowe,akcesoria piśmiennicze,Newell 31,14.735,14.455,0.08,0.57,4.095,-19.39,5
20688,PL-2011-086520,40736,wysoki,10,40737,lotniczy standardowy,małe pudełko,korporacja,południowy,małopolskie,Krzeszowice,84-041,K00120,artykuły biurowe,etykiety,Avery 51,209.475,22.05,0.05,0.39,1.75,144.53775,7
20689,PL-2011-086520,40736,wysoki,10,40738,lotniczy ekspresowy,małe pudełko,korporacja,południowy,małopolskie,Krzeszowice,84-041,K00120,urządzenia techniczne,telefony,6185,5980.555,720.965,0.09,0.58,10.5,4126.58295,7
20690,PL-2013-090396,41537,średni,1,41538,lotniczy standardowy,duże pudełko,biuro w domu,południowy,śląskie,Wisła,49-509,K02160,artykuły biurowe,teczki,Carina Double Wide Media Storage Towers in Natural & Black,361.69,283.43,0,0.81,122.5,-547.645,9
20691,PL-2012-091074,41255,wysoki,4,41257,lotniczy standardowy,małe pudełko,mała firma,centralny,łódzkie,Kleszczów,63-044,K01599,meble,wyposażenie wnętrza,Howard Miller 12-3/4 Diameter Accuwave DS ™ Wall Clock,1075.025,275.415,0.08,0.43,69.965,741.76725,12
20692,PL-2012-091074,41255,wysoki,15,41256,lotniczy standardowy,małe opakowanie,mała firma,centralny,łódzkie,Kleszczów,63-044,K01599,artykuły biurowe,akcesoria piśmiennicze,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,1135.435,76.93,0.02,0.55,10.045,783.45015,12
20693,PL-2011-089319,40576,krytyczny,8,40577,lotniczy standardowy,duże pudełko,korporacja,południowy,śląskie,Krzepice,44-221,K00397,meble,stoły,Laminate Occasional Tables,4257.12,539.455,0.1,0.68,241.5,-1303.700899,2
20694,PL-2012-088669,40920,wysoki,10,40922,lotniczy standardowy,małe opakowanie,mała firma,centralny,mazowieckie,Ostrów Mazowiecka,18-103,K00772,meble,wyposażenie wnętrza,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",769.405,77.805,0.05,0.41,31.465,520.5886,1
20695,PL-2012-088669,40920,wysoki,1,40923,lotniczy standardowy,małe opakowanie,mała firma,centralny,mazowieckie,Ostrów Mazowiecka,18-103,K00772,artykuły biurowe,akcesoria piśmiennicze,Rogers Handheld Barrel Pencil Sharpener,15.54,9.59,0.03,0.58,12.25,-29.4686,1
20696,PL-2014-090668,41966,nieokreślony,8,41967,lotniczy standardowy,duże pudełko,biuro w domu,wschodni,świętokrzyskie,Busko-Zdrój,98-902,K01299,artykuły biurowe,teczki,Belkin OmniView SE Rackmount Kit,1092.175,124.18,0.02,0.85,122.5,497.46368,11
20697,PL-2011-088075,40836,średni,20,40837,lotniczy standardowy,małe pudełko,osoba fizyczna,centralny,mazowieckie,Radzymin,14-150,K00056,artykuły biurowe,segregatory,Durable Pressboard Binders,257.425,13.3,0.06,0.38,5.215,68.6987,10
20698,PL-2011-088075,40836,średni,17,40837,lotniczy standardowy,woreczek foliowy,osoba fizyczna,centralny,mazowieckie,Radzymin,14-150,K00056,artykuły biurowe,akcesoria piśmiennicze,Newell 310,103.495,6.16,0.06,0.56,2.45,-5.7834,10
20699,PL-2013-091083,41608,wysoki,37,41609,lotniczy standardowy,woreczek foliowy,korporacja,północno-zachodni,lubuskie,Bytom Odrzański,17-112,K01690,artykuły biurowe,papier,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",458.5,12.6,0.04,0.39,7.7,7,12
2070,PL-2012-014819,40933,nieokreślony,48,40935,lotniczy standardowy,małe pudełko,biuro w domu,wschodni,lubelskie,Lublin,75-081,K00563,artykuły biurowe,przyrządy,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,31719.555,726.18,0.09,0.55,3.465,4371.892,1
20700,PL-2012-091091,40922,krytyczny,2,40923,lotniczy standardowy,małe opakowanie,korporacja,północno-zachodni,wielkopolskie,Jarocin,93-277,K00141,artykuły biurowe,nożyczki i linijki,Acme® Box Cutter Scissors,71.575,35.805,0.07,0.59,16.38,-107.9792,1
20701,PL-2012-087021,40950,niski,9,40954,lotniczy standardowy,małe pudełko,mała firma,południowy,małopolskie,Słomniki,80-134,K00602,artykuły biurowe,papier,Xerox 1959,215.46,23.38,0.08,0.37,25.55,-416.15,2
20702,PL-2012-087021,40950,niski,2,40957,lotniczy standardowy,woreczek foliowy,mała firma,południowo-zachodni,dolnośląskie,Jordanów Śląski,81-001,K00603,artykuły biurowe,papier,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",68.845,31.885,0,0.4,7.525,47.50305,2
20703,PL-2012-087957,41273,nieokreślony,21,41290,lądowy,kontener,osoba fizyczna,północno-zachodni,wielkopolskie,Koło,95-051,K00637,meble,krzesła,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",9449.79,458.43,0.07,0.78,105,-741.5975,1
20704,PL-2012-087957,41273,nieokreślony,10,41284,lotniczy standardowy,małe pudełko,osoba fizyczna,północno-zachodni,wielkopolskie,Koło,95-051,K00637,artykuły biurowe,papier,Xerox 1908,1800.785,195.93,0.09,0.36,17.01,1242.54165,1
20705,PL-2012-087957,41273,nieokreślony,16,41301,lotniczy standardowy,małe pudełko,osoba fizyczna,północno-zachodni,wielkopolskie,Koło,95-051,K00637,urządzenia techniczne,telefony,282,5181.015,405.965,0.08,0.56,14.805,3574.90035,1
20706,PL-2013-086287,41577,niski,13,41581,lotniczy standardowy,woreczek foliowy,korporacja,wschodni,lubelskie,Wąwolnica,32-174,K03331,artykuły biurowe,spinacze i zszywki,Staples Metal Binder Clips,116.55,9.17,0.08,0.39,2.8,-554.092,11
20707,PL-2013-086287,41577,niski,4,41577,lotniczy standardowy,małe pudełko,korporacja,wschodni,lubelskie,Wąwolnica,32-174,K03331,artykuły biurowe,teczki,"File Shuttle II and Handi-File, Black",485.73,118.615,0.05,0.6,17.85,3695.412,10
20708,PL-2013-089120,41330,niski,1,41333,lotniczy standardowy,woreczek foliowy,korporacja,centralny,mazowieckie,Latowicz,07-070,K01168,artykuły biurowe,spinacze i zszywki,Acco® Hot Clips™ Clips to Go,13.965,11.515,0.04,0.4,4.725,-13.755,2
20709,PL-2012-089972,41014,wysoki,8,41016,lotniczy standardowy,małe pudełko,mała firma,centralny,mazowieckie,Drobin,88-101,K02223,artykuły biurowe,papier,Southworth 25% Cotton Antique Laid Paper & Envelopes,235.55,29.19,0.01,0.4,16.87,-30.625,4
2071,PL-2012-014819,40933,nieokreślony,27,40934,lądowy,wielkie pudło,biuro w domu,wschodni,lubelskie,Lublin,75-081,K00563,meble,szafki,O'Sullivan 3-Shelf Heavy-Duty Bookcases,5544.35,203.49,0.07,0.61,128.135,-2678.032,1
20710,PL-2012-089972,41014,wysoki,5,41015,lotniczy ekspresowy,małe pudełko,mała firma,centralny,mazowieckie,Drobin,88-101,K02223,urządzenia techniczne,telefony,CF 688,2377.305,545.965,0.02,0.58,31.465,965.1915,4
20711,PL-2012-089972,41014,wysoki,4,41017,lotniczy ekspresowy,woreczek foliowy,mała firma,wschodni,świętokrzyskie,Małogoszcz,87-401,K02224,urządzenia techniczne,telefony,Accessory34,1032.045,300.965,0.07,0.55,3.465,340.893,4
20712,PL-2011-086003,40649,krytyczny,2,40650,lądowy,kontener,korporacja,centralny,mazowieckie,Wierzbno,53-094,K02139,urządzenia techniczne,urządzenia biurowe,Epson DFX-8500 Dot Matrix Printer,16958.445,8925.49,0.05,0.57,103.95,-13898.7198,4
20713,PL-2014-089695,41944,nieokreślony,32,41946,lotniczy standardowy,małe opakowanie,biuro w domu,północno-zachodni,lubuskie,Nowogród Bobrzański,34-210,K01346,artykuły biurowe,nożyczki i linijki,Kleencut® Forged Office Shears by Acme United Corporation,219.73,7.28,0.1,0.55,8.96,-8.918,11
20714,PL-2013-090637,41630,wysoki,2,41631,lotniczy standardowy,małe opakowanie,korporacja,wschodni,świętokrzyskie,Daleszyce,43-130,K01890,artykuły biurowe,akcesoria piśmiennicze,"Boston Model 1800 Electric Pencil Sharpener, Gray",215.39,98.525,0,0.55,21.595,-50.6625,12
20715,PL-2013-090637,41630,wysoki,21,41631,lotniczy ekspresowy,woreczek foliowy,korporacja,wschodni,świętokrzyskie,Daleszyce,43-130,K01890,artykuły biurowe,akcesoria piśmiennicze,Newell 318,204.645,9.73,0.06,0.59,4.375,-17.5175,12
20716,PL-2014-088498,41659,niski,10,41661,lotniczy standardowy,średnie pudełko,korporacja,wschodni,lubelskie,Józefów nad Wisłą,47-150,K01545,urządzenia techniczne,urządzenia biurowe,TI 36X Solar Scientific Calculator,877.275,83.965,0.03,0.38,22.05,605.31975,1
20717,PL-2014-088498,41659,niski,1,41659,lotniczy standardowy,małe pudełko,korporacja,wschodni,lubelskie,Józefów nad Wisłą,47-150,K01545,urządzenia techniczne,telefony,V 3600 Series,200.62,230.965,0.07,0.58,31.465,-1286.25882,1
20718,PL-2013-089673,41524,krytyczny,10,41525,lotniczy standardowy,woreczek foliowy,korporacja,centralny,łódzkie,Dalików,72-116,K02122,artykuły biurowe,nożyczki i linijki,Serrated Blade or Curved Handle Hand Letter Openers,117.32,10.99,0.04,0.84,6.72,1770.552,9
20719,PL-2013-089673,41524,krytyczny,7,41525,lotniczy ekspresowy,średnie pudełko,korporacja,centralny,łódzkie,Dalików,72-116,K02122,artykuły biurowe,teczki,Iris Project Case,230.02,27.93,0.08,0.59,22.75,-3032.855,9
20720,PL-2013-086968,41398,wysoki,10,41400,lotniczy ekspresowy,średnie pudełko,osoba fizyczna,wschodni,podkarpackie,Krosno,28-314,K01574,artykuły biurowe,przyrządy,Holmes Odor Grabber,526.05,50.47,0.05,0.52,23.625,513.345,5
20721,PL-2013-086968,41398,wysoki,14,41399,lądowy,wielkie pudło,osoba fizyczna,wschodni,podkarpackie,Krosno,28-314,K01574,meble,stoły,Hon iLevel™ Computer Training Table,1490.58,111.16,0.1,0.65,159.285,-42.63,5
20722,PL-2014-089722,41792,krytyczny,11,41793,lądowy,kontener,korporacja,wschodni,lubelskie,Uścimów,83-854,K03148,meble,krzesła,"Global Leather Task Chair, Black",3727.815,314.965,0.01,0.66,147,-862.008,6
20723,PL-2014-089722,41792,krytyczny,13,41794,lotniczy standardowy,małe pudełko,korporacja,wschodni,lubelskie,Uścimów,83-854,K03148,urządzenia techniczne,telefony,TIMEPORT P8767,2448.81,230.965,0.05,0.57,13.965,1543.3362,6
20724,PL-2014-086588,41893,nieokreślony,18,41893,lotniczy standardowy,małe pudełko,biuro w domu,centralny,mazowieckie,Wieniawa,77-381,K01139,artykuły biurowe,segregatory,Avery Poly Binder Pockets,232.47,12.53,0.07,0.37,19.145,-417.40216,9
20725,PL-2013-091103,41283,wysoki,2,41283,lotniczy standardowy,małe pudełko,biuro w domu,północny,kujawsko-pomorskie,Zbiczno,40-214,K02148,meble,wyposażenie wnętrza,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",333.97,164.29,0.04,0.44,23.695,4.956,1
20726,PL-2014-087715,41650,wysoki,9,41651,lotniczy standardowy,małe opakowanie,korporacja,północno-zachodni,wielkopolskie,Środa Wielkopolska,62-701,K00048,urządzenia techniczne,akcesoria komputerowe,Verbatim DVD-R 4.7GB authoring disc,1161.895,137.34,0.06,0.51,6.965,801.70755,1
20727,PL-2012-087712,41136,średni,1,41136,lotniczy standardowy,średnie pudełko,korporacja,północno-zachodni,wielkopolskie,Środa Wielkopolska,62-701,K00048,urządzenia techniczne,urządzenia biurowe,Canon P1-DHIII Palm Printing Calculator,74.06,62.93,0.06,0.4,29.785,-96.603234,8
20728,PL-2012-087712,41136,średni,5,41138,lotniczy standardowy,małe pudełko,korporacja,centralny,mazowieckie,Myszyniec,60-107,K00049,artykuły biurowe,segregatory,GBC Binding covers,242.9,45.325,0.04,0.4,17.43,66.08903,8
20729,PL-2012-090516,41134,średni,15,41135,lotniczy standardowy,woreczek foliowy,osoba fizyczna,południowy,śląskie,Będzin,79-424,K01367,artykuły biurowe,spinacze i zszywki,Binder Clips by OIC,76.335,5.18,0.06,0.37,2.45,19.9948,8
20730,PL-2012-090516,41134,średni,10,41136,lotniczy standardowy,małe pudełko,osoba fizyczna,południowy,śląskie,Będzin,79-424,K01367,urządzenia techniczne,telefony,600 Series Non-Flip,1262.45,160.965,0.1,0.57,17.465,132.26094,8
20731,PL-2011-091110,40815,niski,2,40822,lotniczy standardowy,małe pudełko,biuro w domu,północny,kujawsko-pomorskie,Brodnica,76-541,K02430,urządzenia techniczne,telefony,7160,862.54,493.465,0.03,0.59,14.7,-1605.604,10
20732,PL-2014-089359,41814,niski,2,41819,lotniczy standardowy,średnie pudełko,osoba fizyczna,południowo-zachodni,dolnośląskie,Międzybórz,33-411,K03347,urządzenia techniczne,urządzenia biurowe,Sharp EL500L Fraction Calculator,104.72,48.965,0.03,0.39,26.285,-4748.336992,6
20733,PL-2012-089303,40982,średni,10,40984,lotniczy standardowy,małe pudełko,osoba fizyczna,południowo-zachodni,dolnośląskie,Mietków,32-953,K02442,artykuły biurowe,przyrządy,Staples 6 Outlet Surge,408.38,41.895,0.09,0.58,17.43,-233.436,3
20734,PL-2014-091121,41991,wysoki,13,41992,lotniczy standardowy,woreczek foliowy,mała firma,wschodni,podkarpackie,Medyka,84-003,K01467,meble,wyposażenie wnętrza,Tenex B1-RE Series Chair Mats for Low Pile Carpets,1950.62,160.93,0.09,0.68,16.8,1345.9278,12
20735,PL-2014-091121,41991,wysoki,15,41992,lotniczy standardowy,małe pudełko,mała firma,północno-zachodni,zachodniopomorskie,Mieszkowice,84-010,K01468,urządzenia techniczne,akcesoria komputerowe,Gyration Ultra Professional Cordless Optical Suite,15633.415,1053.395,0.03,0.48,25.13,10787.05635,12
20736,PL-2014-091121,41991,wysoki,1,41993,lotniczy standardowy,małe opakowanie,mała firma,północno-zachodni,zachodniopomorskie,Mieszkowice,84-010,K01468,urządzenia techniczne,akcesoria komputerowe,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",111.93,104.615,0,0.5,6.965,-140.36736,12
20737,PL-2014-091121,41991,wysoki,25,41992,lotniczy standardowy,małe pudełko,mała firma,północno-zachodni,zachodniopomorskie,Mieszkowice,84-010,K01468,artykuły biurowe,koperty,Park Ridge™ Embossed Executive Business Envelopes,1457.75,54.495,0,0.38,4.865,1005.8475,12
20738,PL-2012-087967,41125,nieokreślony,3,41126,lotniczy standardowy,małe pudełko,korporacja,południowy,śląskie,Ujsoły,28-560,K02256,artykuły biurowe,papier,Xerox 1887,218.155,66.395,0.01,0.37,18.235,365.274,8
20739,PL-2014-085926,41931,nieokreślony,12,41931,lotniczy standardowy,małe pudełko,korporacja,wschodni,podlaskie,Knyszyn,74-403,K02629,artykuły biurowe,segregatory,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",614.565,52.535,0.06,0.39,29.4,-87.3425,10
20740,PL-2014-085926,41931,nieokreślony,1,41933,lotniczy standardowy,małe pudełko,korporacja,wschodni,podlaskie,Knyszyn,74-403,K02629,artykuły biurowe,segregatory,GBC Recycled Regency Composition Covers,232.68,209.23,0.05,0.39,36.015,-216.58525,10
20741,PL-2014-085926,41931,nieokreślony,13,41933,lotniczy standardowy,małe pudełko,korporacja,wschodni,lubelskie,Lubartów,73-071,K02630,urządzenia techniczne,telefony,300 Series Non-Flip,6196.995,545.965,0.04,0.6,28.28,1970.199,10
20742,PL-2014-089381,41930,niski,9,41934,lotniczy standardowy,woreczek foliowy,osoba fizyczna,wschodni,lubelskie,Poniatowa,75-028,K01233,artykuły biurowe,spinacze i zszywki,Assorted Color Push Pins,58.135,6.335,0.06,0.52,2.625,-2.975,10
20743,PL-2013-091125,41494,niski,24,41499,lotniczy ekspresowy,małe opakowanie,korporacja,centralny,łódzkie,Wróblew,14-120,K02390,artykuły biurowe,nożyczki i linijki,Acme® Office Executive Series Stainless Steel Trimmers,772.555,29.995,0.01,0.59,21.49,-209.482,8
20744,PL-2012-089587,41001,niski,1,41006,lądowy,wielkie pudło,biuro w domu,południowy,małopolskie,Siepraw,97-128,K00115,meble,stoły,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1585.255,1928.43,0.01,0.71,159.95,-571.2,4
20745,PL-2012-088369,40970,krytyczny,7,40971,lotniczy standardowy,małe pudełko,biuro w domu,południowo-zachodni,opolskie,Zawadzkie,51-503,K02014,urządzenia techniczne,telefony,T61,928.06,160.965,0.05,0.56,8.75,640.3614,3
20746,PL-2012-086602,40993,nieokreślony,8,40996,lotniczy standardowy,małe pudełko,biuro w domu,centralny,mazowieckie,Radom,94-110,K01836,artykuły biurowe,papier,Xerox 1897,141.75,17.43,0.03,0.36,21.245,-358.26,3
20747,PL-2012-090070,41053,krytyczny,9,41056,lądowy,wielkie pudło,korporacja,centralny,mazowieckie,Jakubów,85-351,K01053,urządzenia techniczne,urządzenia biurowe,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,10420.935,1403.395,0.08,0.36,168.91,7190.44515,5
20748,PL-2012-087300,41269,niski,8,41296,lotniczy standardowy,małe opakowanie,korporacja,północny,pomorskie,Smołdzino,12-306,K03252,artykuły biurowe,akcesoria piśmiennicze,Staples SlimLine Pencil Sharpener,350.91,41.895,0.03,0.6,20.335,-55.545,1
20749,PL-2012-087300,41269,niski,3,41300,lotniczy standardowy,małe pudełko,korporacja,północny,pomorskie,Smołdzino,12-306,K03252,urządzenia techniczne,telefony,688,1689.73,685.965,0.08,0.6,14.7,-976.41775,1
20750,PL-2012-087300,41269,niski,20,41288,lotniczy ekspresowy,małe pudełko,korporacja,południowy,małopolskie,Kościelisko,70-458,K03248,urządzenia techniczne,telefony,M3682,7631.085,440.965,0.06,0.57,28.28,8.673,1
20751,PL-2012-086537,41119,średni,10,41119,lotniczy standardowy,małe pudełko,biuro w domu,centralny,mazowieckie,Sokołów Podlaski,80-303,K01258,urządzenia techniczne,telefony,LX 788,4684.33,545.965,0.02,0.58,31.465,3232.1877,7
20752,PL-2014-089182,41798,wysoki,12,41799,lotniczy standardowy,małe pudełko,mała firma,wschodni,lubelskie,Jastków,14-701,K02196,artykuły biurowe,teczki,Filing/Storage Totes and Swivel Casters,420.63,33.985,0,0.6,33.075,-511.056,6
20753,PL-2014-086062,41863,krytyczny,10,41865,lotniczy standardowy,małe pudełko,biuro w domu,północno-zachodni,wielkopolskie,Kamieniec,55-429,K02202,artykuły biurowe,etykiety,Avery 506,145.215,14.455,0.04,0.39,1.75,100.19835,8
20754,PL-2014-086062,41863,krytyczny,13,41865,lądowy,wielkie pudło,biuro w domu,północno-zachodni,wielkopolskie,Kamieniec,55-429,K02202,meble,stoły,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",24936.45,1928.43,0.01,0.66,226.065,-5472.474084,8
20755,PL-2013-091129,41553,wysoki,21,41554,lotniczy standardowy,średnie pudełko,osoba fizyczna,północny,pomorskie,Kaliska,37-922,K00524,artykuły biurowe,przyrządy,3M Office Air Cleaner,1802.815,90.93,0.07,0.5,18.795,71.376795,10
